1975: T1_OFF_SHIELD                                                    : T1.0 Shield
1976: T2_OFF_SHIELD                                                    : T2.0 Shield
1977: T3_OFF_SHIELD                                                    : T3.0 Shield
9: T4_OFF_SHIELD@1                                                  : T4.1 Shield
1978: T4_OFF_SHIELD                                                    : T4.0 Shield
1979: T4_OFF_SHIELD@1                                                  : T4.1 Shield
1980: T4_OFF_SHIELD@2                                                  : T4.2 Shield
1981: T4_OFF_SHIELD@3                                                  : T4.3 Shield
1982: T4_OFF_SHIELD@4                                                  : T4.4 Shield
1983: T5_OFF_SHIELD                                                    : T5.0 Shield
1984: T5_OFF_SHIELD@1                                                  : T5.1 Shield
1985: T5_OFF_SHIELD@2                                                  : T5.2 Shield
1986: T5_OFF_SHIELD@3                                                  : T5.3 Shield
1987: T5_OFF_SHIELD@4                                                  : T5.4 Shield
1988: T6_OFF_SHIELD                                                    : T6.0 Shield
1989: T6_OFF_SHIELD@1                                                  : T6.1 Shield
1990: T6_OFF_SHIELD@2                                                  : T6.2 Shield
1991: T6_OFF_SHIELD@3                                                  : T6.3 Shield
1992: T6_OFF_SHIELD@4                                                  : T6.4 Shield
1993: T7_OFF_SHIELD                                                    : T7.0 Shield
1994: T7_OFF_SHIELD@1                                                  : T7.1 Shield
1995: T7_OFF_SHIELD@2                                                  : T7.2 Shield
1996: T7_OFF_SHIELD@3                                                  : T7.3 Shield
1997: T7_OFF_SHIELD@4                                                  : T7.4 Shield
1998: T8_OFF_SHIELD                                                    : T8.0 Shield
1999: T8_OFF_SHIELD@1                                                  : T8.1 Shield
2000: T8_OFF_SHIELD@2                                                  : T8.2 Shield
2001: T8_OFF_SHIELD@3                                                  : T8.3 Shield
2002: T8_OFF_SHIELD@4                                                  : T8.4 Shield
2003: T4_OFF_TOWERSHIELD_UNDEAD                                        : T4.0 Sarcophagus
2004: T4_OFF_TOWERSHIELD_UNDEAD@1                                      : T4.1 Sarcophagus
2005: T4_OFF_TOWERSHIELD_UNDEAD@2                                      : T4.2 Sarcophagus
2006: T4_OFF_TOWERSHIELD_UNDEAD@3                                      : T4.3 Sarcophagus
2007: T4_OFF_TOWERSHIELD_UNDEAD@4                                      : T4.4 Sarcophagus
2008: T5_OFF_TOWERSHIELD_UNDEAD                                        : T5.0 Sarcophagus
2009: T5_OFF_TOWERSHIELD_UNDEAD@1                                      : T5.1 Sarcophagus
2010: T5_OFF_TOWERSHIELD_UNDEAD@2                                      : T5.2 Sarcophagus
2011: T5_OFF_TOWERSHIELD_UNDEAD@3                                      : T5.3 Sarcophagus
2012: T5_OFF_TOWERSHIELD_UNDEAD@4                                      : T5.4 Sarcophagus
2013: T6_OFF_TOWERSHIELD_UNDEAD                                        : T6.0 Sarcophagus
2014: T6_OFF_TOWERSHIELD_UNDEAD@1                                      : T6.1 Sarcophagus
2015: T6_OFF_TOWERSHIELD_UNDEAD@2                                      : T6.2 Sarcophagus
2016: T6_OFF_TOWERSHIELD_UNDEAD@3                                      : T6.3 Sarcophagus
2017: T6_OFF_TOWERSHIELD_UNDEAD@4                                      : T6.4 Sarcophagus
2018: T7_OFF_TOWERSHIELD_UNDEAD                                        : T7.0 Sarcophagus
2019: T7_OFF_TOWERSHIELD_UNDEAD@1                                      : T7.1 Sarcophagus
2020: T7_OFF_TOWERSHIELD_UNDEAD@2                                      : T7.2 Sarcophagus
2021: T7_OFF_TOWERSHIELD_UNDEAD@3                                      : T7.3 Sarcophagus
2022: T7_OFF_TOWERSHIELD_UNDEAD@4                                      : T7.4 Sarcophagus
2023: T8_OFF_TOWERSHIELD_UNDEAD                                        : T8.0 Sarcophagus
2024: T8_OFF_TOWERSHIELD_UNDEAD@1                                      : T8.1 Sarcophagus
2025: T8_OFF_TOWERSHIELD_UNDEAD@2                                      : T8.2 Sarcophagus
2026: T8_OFF_TOWERSHIELD_UNDEAD@3                                      : T8.3 Sarcophagus
2027: T8_OFF_TOWERSHIELD_UNDEAD@4                                      : T8.4 Sarcophagus
2028: T4_OFF_SHIELD_HELL                                               : T4.0 Caitiff Shield
2029: T4_OFF_SHIELD_HELL@1                                             : T4.1 Caitiff Shield
2030: T4_OFF_SHIELD_HELL@2                                             : T4.2 Caitiff Shield
2031: T4_OFF_SHIELD_HELL@3                                             : T4.3 Caitiff Shield
2032: T4_OFF_SHIELD_HELL@4                                             : T4.4 Caitiff Shield
2033: T5_OFF_SHIELD_HELL                                               : T5.0 Caitiff Shield
2034: T5_OFF_SHIELD_HELL@1                                             : T5.1 Caitiff Shield
2035: T5_OFF_SHIELD_HELL@2                                             : T5.2 Caitiff Shield
2036: T5_OFF_SHIELD_HELL@3                                             : T5.3 Caitiff Shield
2037: T5_OFF_SHIELD_HELL@4                                             : T5.4 Caitiff Shield
2038: T6_OFF_SHIELD_HELL                                               : T6.0 Caitiff Shield
2039: T6_OFF_SHIELD_HELL@1                                             : T6.1 Caitiff Shield
2040: T6_OFF_SHIELD_HELL@2                                             : T6.2 Caitiff Shield
2041: T6_OFF_SHIELD_HELL@3                                             : T6.3 Caitiff Shield
2042: T6_OFF_SHIELD_HELL@4                                             : T6.4 Caitiff Shield
2043: T7_OFF_SHIELD_HELL                                               : T7.0 Caitiff Shield
2044: T7_OFF_SHIELD_HELL@1                                             : T7.1 Caitiff Shield
2045: T7_OFF_SHIELD_HELL@2                                             : T7.2 Caitiff Shield
2046: T7_OFF_SHIELD_HELL@3                                             : T7.3 Caitiff Shield
2047: T7_OFF_SHIELD_HELL@4                                             : T7.4 Caitiff Shield
2048: T8_OFF_SHIELD_HELL                                               : T8.0 Caitiff Shield
2049: T8_OFF_SHIELD_HELL@1                                             : T8.1 Caitiff Shield
2050: T8_OFF_SHIELD_HELL@2                                             : T8.2 Caitiff Shield
2051: T8_OFF_SHIELD_HELL@3                                             : T8.3 Caitiff Shield
2052: T8_OFF_SHIELD_HELL@4                                             : T8.4 Caitiff Shield
2053: T4_OFF_SPIKEDSHIELD_MORGANA                                      : T4.0 Facebreaker
2054: T4_OFF_SPIKEDSHIELD_MORGANA@1                                    : T4.1 Facebreaker
2055: T4_OFF_SPIKEDSHIELD_MORGANA@2                                    : T4.2 Facebreaker
2056: T4_OFF_SPIKEDSHIELD_MORGANA@3                                    : T4.3 Facebreaker
2057: T4_OFF_SPIKEDSHIELD_MORGANA@4                                    : T4.4 Facebreaker
2058: T5_OFF_SPIKEDSHIELD_MORGANA                                      : T5.0 Facebreaker
2059: T5_OFF_SPIKEDSHIELD_MORGANA@1                                    : T5.1 Facebreaker
2060: T5_OFF_SPIKEDSHIELD_MORGANA@2                                    : T5.2 Facebreaker
2061: T5_OFF_SPIKEDSHIELD_MORGANA@3                                    : T5.3 Facebreaker
2062: T5_OFF_SPIKEDSHIELD_MORGANA@4                                    : T5.4 Facebreaker
2063: T6_OFF_SPIKEDSHIELD_MORGANA                                      : T6.0 Facebreaker
2064: T6_OFF_SPIKEDSHIELD_MORGANA@1                                    : T6.1 Facebreaker
2065: T6_OFF_SPIKEDSHIELD_MORGANA@2                                    : T6.2 Facebreaker
2066: T6_OFF_SPIKEDSHIELD_MORGANA@3                                    : T6.3 Facebreaker
2067: T6_OFF_SPIKEDSHIELD_MORGANA@4                                    : T6.4 Facebreaker
2068: T7_OFF_SPIKEDSHIELD_MORGANA                                      : T7.0 Facebreaker
2069: T7_OFF_SPIKEDSHIELD_MORGANA@1                                    : T7.1 Facebreaker
2070: T7_OFF_SPIKEDSHIELD_MORGANA@2                                    : T7.2 Facebreaker
2071: T7_OFF_SPIKEDSHIELD_MORGANA@3                                    : T7.3 Facebreaker
2072: T7_OFF_SPIKEDSHIELD_MORGANA@4                                    : T7.4 Facebreaker
2073: T8_OFF_SPIKEDSHIELD_MORGANA                                      : T8.0 Facebreaker
2074: T8_OFF_SPIKEDSHIELD_MORGANA@1                                    : T8.1 Facebreaker
2075: T8_OFF_SPIKEDSHIELD_MORGANA@2                                    : T8.2 Facebreaker
2076: T8_OFF_SPIKEDSHIELD_MORGANA@3                                    : T8.3 Facebreaker
2077: T8_OFF_SPIKEDSHIELD_MORGANA@4                                    : T8.4 Facebreaker
2078: T4_OFF_SHIELD_AVALON                                             : T4.0 Astral Aegis
2079: T4_OFF_SHIELD_AVALON@1                                           : T4.1 Astral Aegis
2080: T4_OFF_SHIELD_AVALON@2                                           : T4.2 Astral Aegis
2081: T4_OFF_SHIELD_AVALON@3                                           : T4.3 Astral Aegis
2082: T4_OFF_SHIELD_AVALON@4                                           : T4.4 Astral Aegis
2083: T5_OFF_SHIELD_AVALON                                             : T5.0 Astral Aegis
2084: T5_OFF_SHIELD_AVALON@1                                           : T5.1 Astral Aegis
2085: T5_OFF_SHIELD_AVALON@2                                           : T5.2 Astral Aegis
2086: T5_OFF_SHIELD_AVALON@3                                           : T5.3 Astral Aegis
2087: T5_OFF_SHIELD_AVALON@4                                           : T5.4 Astral Aegis
2088: T6_OFF_SHIELD_AVALON                                             : T6.0 Astral Aegis
2089: T6_OFF_SHIELD_AVALON@1                                           : T6.1 Astral Aegis
2090: T6_OFF_SHIELD_AVALON@2                                           : T6.2 Astral Aegis
2091: T6_OFF_SHIELD_AVALON@3                                           : T6.3 Astral Aegis
2092: T6_OFF_SHIELD_AVALON@4                                           : T6.4 Astral Aegis
2093: T7_OFF_SHIELD_AVALON                                             : T7.0 Astral Aegis
2094: T7_OFF_SHIELD_AVALON@1                                           : T7.1 Astral Aegis
2095: T7_OFF_SHIELD_AVALON@2                                           : T7.2 Astral Aegis
2096: T7_OFF_SHIELD_AVALON@3                                           : T7.3 Astral Aegis
